Percent Down 90,Avg. Price 90,Percent Down 365,Avg. Price 365,Price Now,Price Now Source,Deal found,AMZ link,Keepa Link,Title,last update,last price change,Sales Rank - Reference,Reviews - Rating,Reviews - Review Count,FBA Pick&Pack Fee,Referral Fee %,Tracking since,Categories - Root,Categories - Sub,Categories - Tree,ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Product Group,Variation Attributes,Item Type,Author,Contributors,Binding,Number of Items,Number of Pages,Publication Date,Languages,Package - Quantity,Package Weight,Package Height,Package Length,Package Width,Listed since,Edition,Release Date,Format,Sales Rank - Current,Sales Rank - 30 days avg.,Sales Rank - 60 days avg.,Sales Rank - 90 days avg.,Sales Rank - 180 days avg.,Sales Rank - 365 days avg.,Sales Rank - Lowest,Sales Rank - Lowest 365 days,Sales Rank - Highest,Sales Rank - Highest 365 days,Sales Rank - Drops last 30 days,Sales Rank - Drops last 60 days,Sales Rank - Drops last 90 days,Sales Rank - Drops last 180 days,Sales Rank - Drops last 365 days,Buy Box - Current,Buy Box - 30 days avg.,Buy Box - 60 days avg.,Buy Box - 90 days avg.,Buy Box - 180 days avg.,Buy Box - 365 days avg.,Buy Box - Lowest,Buy Box - Lowest 365 days,Buy Box - Highest,Buy Box - Highest 365 days,Buy Box - 90 days OOS,Buy Box - Stock,Amazon - Current,Amazon - 30 days avg.,Amazon - 60 days avg.,Amazon - 90 days avg.,Amazon - 180 days avg.,Amazon - 365 days avg.,Amazon - Lowest,Amazon - Lowest 365 days,Amazon - Highest,Amazon - Highest 365 days,Amazon - 90 days OOS,Amazon - Stock,New - Current,New - 30 days avg.,New - 60 days avg.,New - 90 days avg.,New - 180 days avg.,New - 365 days avg.,New - Lowest,New - Lowest 365 days,New - Highest,New - Highest 365 days,New - 90 days OOS,New - Stock,"New, 3rd Party FBA - Current","New, 3rd Party FBA - 30 days avg.","New, 3rd Party FBA - 60 days avg.","New, 3rd Party FBA - 90 days avg.","New, 3rd Party FBA - 180 days avg.","New, 3rd Party FBA - 365 days avg.","New, 3rd Party FBA - Lowest","New, 3rd Party FBA - Lowest 365 days","New, 3rd Party FBA - Highest","New, 3rd Party FBA - Highest 365 days","New, 3rd Party FBA - 90 days OOS","New, 3rd Party FBA - Stock","New, 3rd Party FBM - Current","New, 3rd Party FBM - 30 days avg.","New, 3rd Party FBM - 60 days avg.","New, 3rd Party FBM - 90 days avg.","New, 3rd Party FBM - 180 days avg.","New, 3rd Party FBM - 365 days avg.","New, 3rd Party FBM - Lowest","New, 3rd Party FBM - Lowest 365 days","New, 3rd Party FBM - Highest","New, 3rd Party FBM - Highest 365 days","New, 3rd Party FBM - 90 days OOS","New, 3rd Party FBM - Stock",Buy Box Used - Current,Buy Box Used - 30 days avg.,Buy Box Used - 60 days avg.,Buy Box Used - 90 days avg.,Buy Box Used - 180 days avg.,Buy Box Used - 365 days avg.,Buy Box Used - Lowest,Buy Box Used - Lowest 365 days,Buy Box Used - Highest,Buy Box Used - Highest 365 days,Buy Box Used - 90 days OOS,Buy Box Used - Stock,Used - Current,Used - 30 days avg.,Used - 60 days avg.,Used - 90 days avg.,Used - 180 days avg.,Used - 365 days avg.,Used - Lowest,Used - Lowest 365 days,Used - Highest,Used - Highest 365 days,Used - 90 days OOS,Used - Stock,"Used, like new - Current","Used, like new - 30 days avg.","Used, like new - 60 days avg.","Used, like new - 90 days avg.","Used, like new - 180 days avg.","Used, like new - 365 days avg.","Used, like new - Lowest","Used, like new - Lowest 365 days","Used, like new - Highest","Used, like new - Highest 365 days","Used, like new - 90 days OOS","Used, like new - Stock","Used, very good - Current","Used, very good - 30 days avg.","Used, very good - 60 days avg.","Used, very good - 90 days avg.","Used, very good - 180 days avg.","Used, very good - 365 days avg.","Used, very good - Lowest","Used, very good - Lowest 365 days","Used, very good - Highest","Used, very good - Highest 365 days","Used, very good - 90 days OOS","Used, very good - Stock","Used, good - Current","Used, good - 30 days avg.","Used, good - 60 days avg.","Used, good - 90 days avg.","Used, good - 180 days avg.","Used, good - 365 days avg.","Used, good - Lowest","Used, good - Lowest 365 days","Used, good - Highest","Used, good - Highest 365 days","Used, good - 90 days OOS","Used, good - Stock","Used, acceptable - Current","Used, acceptable - 30 days avg.","Used, acceptable - 60 days avg.","Used, acceptable - 90 days avg.","Used, acceptable - 180 days avg.","Used, acceptable - 365 days avg.","Used, acceptable - Lowest","Used, acceptable - Lowest 365 days","Used, acceptable - Highest","Used, acceptable - Highest 365 days","Used, acceptable - 90 days OOS","Used, acceptable - Stock",List Price - Current,List Price - 30 days avg.,List Price - 60 days avg.,List Price - 90 days avg.,List Price - 180 days avg.,List Price - 365 days avg.,List Price - Lowest,List Price - Lowest 365 days,List Price - Highest,List Price - Highest 365 days,List Price - 90 days OOS,List Price - Stock,New Offer Count - Current,New Offer Count - 30 days avg.,New Offer Count - 60 days avg.,New Offer Count - 90 days avg.,New Offer Count - 180 days avg.,New Offer Count - 365 days avg.,Used Offer Count - Current,Used Offer Count - 30 days avg.,Used Offer Count - 60 days avg.,Used Offer Count - 90 days avg.,Used Offer Count - 180 days avg.,Used Offer Count - 365 days avg.
77%,-,-,-,-,-,2025-05-29 02:44:00,https://www.amazon.com/dp/8427024592,https://keepa.com/#!product/1-8427024592,Médico de cuerpos y almas,2025-05-29 20:08:00,2025-02-15 23:44:00,-,-,-,-,-,2016-12-29,Books,-,Books > Subjects,"=""8427024592""",-,-,Ediciones Martínez Roca,-,-,-,-,"Caldwell, Taylor",-,Hardcover,-,-,-,-,-,0.70 kg,3.4 cm,23.6 cm,16.0 cm,-,-,-,-,"575,173","6,521,687",-,"5,364,795","5,473,274","5,516,141",-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$23.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77%,-,-,-,-,-,2025-05-30 11:04:00,https://www.amazon.com/dp/0073529591,https://keepa.com/#!product/1-0073529591,Principles and Applications of Electrical Engineering,2025-05-30 11:04:00,2025-05-25 15:16:00,-,-,-,-,-,2015-06-23,Books,"Engineering & Transportation, Engineering, Electrical & Electronics",Books > Subjects > Engineering & Transportation > Engineering > Electrical & Electronics,"=""0073529591""",-,-,McGraw Hill,-,-,-,-,"Rizzoni, Giorgio",-,Hardcover,-,-,-,-,-,1.99 kg,4.3 cm,26.9 cm,21.1 cm,2012-10-12,-,-,-,"1,098,678","1,114,920",-,"1,055,288","915,523","832,768",-,-,-,-,0,-,-,-,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$238.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$25.00,-,-,-,-,-,-,-,-,-,-,-,$267.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$99.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76%,-,-,-,-,-,2025-05-29 13:56:00,https://www.amazon.com/dp/0984379282,https://keepa.com/#!product/1-0984379282,Spousal Prayer: A Way to Marital Happiness,2025-05-30 10:54:00,2024-10-21 04:20:00,-,-,-,-,-,2013-05-18,Books,"Religion & Spirituality, Christian Books & Bibles, Catholicism",Books > Subjects > Religion & Spirituality > Christian Books & Bibles > Catholicism,"=""0984379282""",-,-,Institute for Priest Formation,-,-,-,-,James Keating,-,Paperback,-,-,-,-,-,0.10 kg,0.7 cm,17.8 cm,12.9 cm,2013-02-25,-,-,-,"634,093","1,085,488",-,"1,026,552","1,004,213","724,992",-,-,-,-,5,-,-,-,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$23.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$55.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76%,-,-,-,-,-,2025-05-27 16:28:00,https://www.amazon.com/dp/B0010V4UAE,https://keepa.com/#!product/1-B0010V4UAE,Tour 2007,2025-05-30 11:02:00,2025-04-15 02:40:00,-,-,-,-,-,2011-05-06,Books,-,Books > Subjects,"=""B0010V4UAE""",-,-,Abilio Silva E Semanas Lda,-,-,-,-,Heroes del Silencio,-,Audio CD,-,-,-,-,-,0.08 kg,1.4 cm,14.1 cm,12.6 cm,-,-,-,-,"1,213,711","4,976,840",-,"5,142,713","5,057,793","4,464,979",-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$119.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$21.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75%,-,-,-,-,-,2025-05-17 23:44:00,https://www.amazon.com/dp/B0CS6RL7D6,https://keepa.com/#!product/1-B0CS6RL7D6,"CAPM Exam Prep 2024 : + 700 CAPM Exam Questions, Answers and Explanations: Aligns with the latest Exam updates & PMBOK® 7th.: 5 Practice CAPM Exams ... CAPM Exam Simulators when you buy this Book.",2025-05-30 03:24:00,2024-08-30 11:22:00,-,-,-,-,-,2024-01-16,Books,"Business & Money, Management & Leadership, Project Management, PMP Exam",Books > Subjects > Business & Money > Management & Leadership > Project Management > PMP Exam,"=""B0CS6RL7D6""",-,-,Independently published,-,-,-,-,"Zabalawi, Khaled Ghazi",-,paperback,-,-,-,-,-,0.57 kg,2.2 cm,25.4 cm,20.4 cm,2024-01-12,-,-,-,"982,296","1,158,942",-,"1,248,029","1,276,563","1,872,436",-,-,-,-,4,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.00,-,-,-,-,-,-,-,-,-,-,-,$26.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75%,-,-,-,-,-,2025-05-25 11:20:00,https://www.amazon.com/dp/1507622465,https://keepa.com/#!product/1-1507622465,Choir Karate:: A Sequential Assessment Program for Middle School Singers,2025-05-30 02:22:00,2025-05-05 23:48:00,-,-,-,-,-,2016-09-28,Books,"Education & Teaching, Schools & Teaching, Instruction Methods, Arts & Humanities",Books > Subjects > Education & Teaching > Schools & Teaching > Instruction Methods > Arts & Humanities,"=""1507622465""",-,-,CreateSpace Independent Publishing Platform,-,-,-,-,"Owens, Lisa E",-,Paperback,-,-,-,-,-,0.26 kg,0.5 cm,27.9 cm,21.6 cm,2015-01-22,-,-,-,"1,266,629","1,029,306",-,"1,120,828","1,061,201","983,999",-,-,-,-,2,-,-,-,67,$48.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$46.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,-,-,-,-,-,-,-,-,-,-,-,$48.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74%,-,-,-,-,-,2025-05-29 11:42:00,https://www.amazon.com/dp/B0B6XSNMY6,https://keepa.com/#!product/1-B0B6XSNMY6,Reading the Bible Cover to Cover in 365 Days: Discovering God’s Heart through His Word,2025-05-30 01:30:00,2024-05-24 21:00:00,-,-,-,-,-,2022-07-26,Books,"Religion & Spirituality, Christian Books & Bibles, Christian Living, Holidays, Christmas",Books > Subjects > Religion & Spirituality > Christian Books & Bibles > Christian Living > Holidays > Christmas,"=""B0B6XSNMY6""",-,-,Independently published,-,-,-,-,"Lende, Andrea",-,Paperback,-,-,-,-,-,0.44 kg,1.6 cm,25.4 cm,20.2 cm,2022-07-21,-,-,-,"1,307,924","1,271,334",-,"1,194,472","1,193,640","1,108,259",-,-,-,-,0,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$29.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75%,-,-,-,-,-,2025-05-22 20:00:00,https://www.amazon.com/dp/B0C1VSRNNH,https://keepa.com/#!product/1-B0C1VSRNNH,"King of sin Series by Ana huang 3 Books Collection set: King of Wrath, King of Pride & King of Greed",2025-05-30 05:46:00,2025-04-17 11:24:00,-,-,-,-,-,2023-05-08,Books,-,Books > Subjects,"=""B0C1VSRNNH""",-,-,,-,-,-,-,Ana Huang,-,Paperback,-,-,-,-,-,2.12 kg,7.0 cm,20.3 cm,12.7 cm,2023-04-08,-,-,-,"911,511","865,077",-,"965,741","796,685","780,537",-,-,-,-,6,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$28.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$20.56,-,-,-,-,-,-,-,-,-,-,-,$99.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74%,-,-,-,-,-,2025-05-26 17:40:00,https://www.amazon.com/dp/1408152819,https://keepa.com/#!product/1-1408152819,The Jet Ski Manual,2025-05-30 09:50:00,2025-03-21 21:20:00,-,-,-,-,-,2016-12-26,Books,"Sports & Outdoors, Water Sports",Books > Subjects > Sports & Outdoors > Water Sports,"=""1408152819""",-,-,Adlard Coles,-,-,-,-,"Harmand, Christophe",-,Paperback,-,-,-,-,-,0.40 kg,1.2 cm,24.4 cm,18.8 cm,2011-04-07,-,-,-,"794,885","4,679,231",-,"4,841,685","4,781,634","4,369,609",-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$23.04,-,-,-,-,-,-,-,-,-,-,-,$28.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74%,-,-,-,-,-,2025-05-30 12:44:00,https://www.amazon.com/dp/0026256207,https://keepa.com/#!product/1-0026256207,The Way of the Skeptical Nutritionist,2025-05-30 12:42:00,2021-07-06 18:02:00,-,-,-,-,-,2015-06-13,Books,"Health, Fitness & Dieting","Books > Subjects > Health, Fitness & Dieting","=""0026256207""",-,-,Macmillan Pub Co,-,-,-,-,"Weiner, Michael A.",-,Hardcover,-,-,-,-,-,0.64 kg,2.8 cm,23.6 cm,15.2 cm,-,-,-,-,"1,474,933","2,149,276",-,"3,072,693","3,029,125","2,740,694",-,-,-,-,2,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74%,-,-,-,-,-,2025-05-27 11:22:00,https://www.amazon.com/dp/1789996678,https://keepa.com/#!product/1-1789996678,"Shadowsun: The Patient Hunter (Warhammer 40,000)",2025-05-30 12:42:00,2025-05-22 07:30:00,-,-,-,-,-,2022-11-14,Books,"Literature & Fiction, Action & Adventure, Fantasy",Books > Subjects > Literature & Fiction > Action & Adventure > Fantasy,"=""1789996678""",-,-,Games Workshop,-,-,-,-,"Kelly, Phil",-,Hardcover,-,-,-,-,-,0.47 kg,3.3 cm,20.4 cm,13.5 cm,2022-11-13,-,-,-,"1,109,839","1,038,951",-,"1,117,846","1,066,592","874,591",-,-,-,-,3,-,-,-,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$49.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$29.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74%,-,-,-,-,-,2025-05-30 04:44:00,https://www.amazon.com/dp/0964995441,https://keepa.com/#!product/1-0964995441,Calculus I: Differentiation and Integration,2025-05-30 12:42:00,2024-01-29 16:06:00,-,-,-,-,-,2016-06-22,Books,"Science & Math, Mathematics, Pure Mathematics, Calculus",Books > Subjects > Science & Math > Mathematics > Pure Mathematics > Calculus,"=""0964995441""",-,-,Hamilton Education Guides,-,-,-,-,Dan Hamilton,-,Paperback,-,-,-,-,-,1.38 kg,3.0 cm,27.9 cm,21.3 cm,-,-,-,-,"1,172,305","2,759,836",-,"2,782,518","2,659,477","2,237,490",-,-,-,-,1,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$69.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,-,-,-,-,-,-,-,-,-,-,-,$59.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74%,-,-,-,-,-,2025-05-30 06:48:00,https://www.amazon.com/dp/0099497808,https://keepa.com/#!product/1-0099497808,Hollywood Babylon,2025-05-30 11:02:00,2025-04-21 17:48:00,-,-,-,-,-,2011-04-09,Books,Humor & Entertainment,Books > Subjects > Humor & Entertainment,"=""0099497808""",-,-,Arrow Books Ltd,-,-,-,-,Kenneth Anger,-,Paperback,-,-,-,-,-,0.77 kg,2.3 cm,24.9 cm,17.5 cm,-,-,-,-,"916,635","582,295",-,"574,289","675,393","1,927,356",-,-,-,-,9,-,-,-,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$20.19,-,-,-,-,-,-,-,-,-,-,-,$123.45,-,-,-,-,-,-,-,-,-,-,-,$404.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74%,-,-,-,-,-,2025-05-30 09:26:00,https://www.amazon.com/dp/8425425018,https://keepa.com/#!product/1-8425425018,Programm. Gramática A1C2: Alemán para hispanohablantes,2025-05-30 12:34:00,2025-05-28 20:06:00,-,-,-,-,-,2014-03-19,Books,"Reference, Foreign Language Study & Reference",Books > Subjects > Reference > Foreign Language Study & Reference,"=""8425425018""",-,-,Herder Editorial,-,-,-,-,"Corcoll, Brigitte",-,Paperback,-,-,-,-,-,0.64 kg,2.2 cm,24.2 cm,15.8 cm,-,-,-,-,"1,309,983","1,116,350",-,"1,076,477","1,097,638","949,525",-,-,-,-,3,-,-,-,67,$33.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$20.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$20.65,-,-,-,-,-,-,-,-,-,-,-,$152.25,-,-,-,-,-,-,-,-,-,-,-,$1064.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73%,-,-,-,-,-,2025-05-27 04:40:00,https://www.amazon.com/dp/0882820397,https://keepa.com/#!product/1-0882820397,Murder of Little Mary Phagan: The Story the Still Rocks the Nation,2025-05-30 12:42:00,2025-03-09 04:36:00,-,-,-,-,-,2016-10-21,Books,"Biographies & Memoirs, True Crime, Murder & Mayhem",Books > Subjects > Biographies & Memoirs > True Crime > Murder & Mayhem,"=""0882820397""",-,-,New Horizon Press,-,-,-,-,"Phagan, Mary",-,Hardcover,-,-,-,-,-,0.45 kg,3.6 cm,22.6 cm,15.2 cm,-,-,-,-,"1,344,510","2,680,425",-,"2,406,218","2,584,680","2,454,523",-,-,-,-,1,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$23.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$23.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
